                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5706,                  0.325,                      1,                 1.5551,             0.00013566,             0.00013566,             0.00013566
                      2,                 1.1481,                  0.775,                      1,                 1.3735,             0.00027777,             0.00027777,             0.00027777
                      3,                0.64507,                      1,                      1,                 1.1699,             0.00041917,             0.00041917,             0.00041917
                      4,                0.28109,                      1,                      1,                 1.0494,             0.00055987,             0.00055987,             0.00055987
                      5,                0.14897,                   0.95,                      1,                0.99468,             0.00069986,             0.00069986,             0.00069986
                      6,                0.06716,                      1,                      1,                0.96724,             0.00070516,             0.00070516,             0.00070516
                      7,                0.04567,                      1,                      1,                0.96416,             0.00070516,             0.00070516,             0.00070516
                      8,                0.06299,                      1,                      1,                0.97357,              0.0007034,              0.0007034,              0.0007034
                      9,                0.07647,                      1,                      1,                0.95653,             0.00070163,             0.00070163,             0.00070163
                     10,                 0.0636,                  0.975,                      1,                0.95254,             0.00069986,             0.00069986,             0.00069986
                     11,                0.07938,                  0.975,                      1,                0.95803,              0.0006981,              0.0006981,              0.0006981
                     12,                0.03768,                    0.9,                      1,                 1.0654,             0.00069633,             0.00069633,             0.00069633
                     13,                0.07369,                   0.95,                      1,                 1.0395,             0.00069456,             0.00069456,             0.00069456
                     14,                0.04129,                  0.875,                      1,                0.98514,             0.00069279,             0.00069279,             0.00069279
                     15,                0.03658,                      1,                      1,                0.97616,             0.00069103,             0.00069103,             0.00069103
                     16,                0.02336,                      1,                      1,                0.98994,             0.00068926,             0.00068926,             0.00068926
                     17,                0.03134,                      1,                      1,                0.97591,             0.00068749,             0.00068749,             0.00068749
                     18,                0.02799,                      1,                      1,                0.98172,             0.00068573,             0.00068573,             0.00068573
                     19,                0.03097,                      1,                      1,                 0.9649,             0.00068396,             0.00068396,             0.00068396
                     20,                0.01799,                   0.95,                      1,                  1.011,             0.00068219,             0.00068219,             0.00068219
                     21,                0.01274,                  0.925,                      1,                 1.0187,             0.00068042,             0.00068042,             0.00068042
                     22,                0.01261,                    0.9,                      1,                 1.0693,             0.00067866,             0.00067866,             0.00067866
                     23,                0.02661,                    0.9,                      1,                0.96386,             0.00067689,             0.00067689,             0.00067689
                     24,                 0.0197,                   0.95,                      1,                 0.9773,             0.00067512,             0.00067512,             0.00067512
                     25,                0.03844,                   0.95,                      1,                 1.0322,             0.00067336,             0.00067336,             0.00067336
                     26,                0.01123,                   0.95,                      1,                0.94969,             0.00067159,             0.00067159,             0.00067159
                     27,                0.01669,                   0.95,                      1,                0.95312,             0.00066982,             0.00066982,             0.00066982
                     28,                0.01644,                  0.975,                      1,                0.97572,             0.00066805,             0.00066805,             0.00066805
                     29,                0.02078,                  0.925,                      1,                  1.015,             0.00066629,             0.00066629,             0.00066629
                     30,                0.01017,                   0.95,                      1,                0.97032,             0.00066452,             0.00066452,             0.00066452
                     31,                0.01814,                      1,                      1,                0.93546,             0.00066275,             0.00066275,             0.00066275
                     32,                0.03839,                      1,                      1,                0.93241,             0.00066099,             0.00066099,             0.00066099
                     33,                0.04284,                   0.95,                      1,                 0.9973,             0.00065922,             0.00065922,             0.00065922
                     34,                0.01053,                   0.95,                      1,                0.99878,             0.00065745,             0.00065745,             0.00065745
                     35,                 0.0204,                  0.875,                      1,                  1.047,             0.00065568,             0.00065568,             0.00065568
                     36,                0.01692,                   0.85,                      1,                  1.064,             0.00065392,             0.00065392,             0.00065392
                     37,                0.01981,                  0.825,                      1,                 1.0054,             0.00065215,             0.00065215,             0.00065215
                     38,                0.04491,                    0.9,                      1,                 1.0713,             0.00065038,             0.00065038,             0.00065038
                     39,                0.00969,                    0.9,                      1,                  1.055,             0.00064862,             0.00064862,             0.00064862
                     40,                0.02669,                    0.9,                      1,                 1.0061,             0.00064685,             0.00064685,             0.00064685
                     41,                0.02339,                   0.95,                      1,                0.97128,             0.00064508,             0.00064508,             0.00064508
                     42,                0.02683,                      1,                      1,                 0.9542,             0.00064331,             0.00064331,             0.00064331
                     43,                 0.0101,                  0.975,                      1,                0.97592,             0.00064155,             0.00064155,             0.00064155
                     44,                0.01328,                   0.95,                      1,                0.98278,             0.00063978,             0.00063978,             0.00063978
                     45,                0.02083,                   0.95,                      1,                 1.0073,             0.00063801,             0.00063801,             0.00063801
                     46,                0.02402,                  0.925,                      1,                  1.007,             0.00063625,             0.00063625,             0.00063625
                     47,                0.01814,                   0.85,                      1,                 1.0091,             0.00063448,             0.00063448,             0.00063448
                     48,                0.01256,                  0.825,                      1,                 1.0653,             0.00063271,             0.00063271,             0.00063271
                     49,                0.03141,                  0.875,                      1,                 1.0789,             0.00063094,             0.00063094,             0.00063094
                     50,                0.01067,                  0.875,                      1,                0.95902,             0.00062918,             0.00062918,             0.00062918
                     51,                0.02105,                   0.95,                      1,                0.94841,             0.00062741,             0.00062741,             0.00062741
                     52,                0.01432,                  0.875,                      1,                0.96254,             0.00062564,             0.00062564,             0.00062564
                     53,                0.01121,                  0.875,                      1,                 1.0118,             0.00062388,             0.00062388,             0.00062388
                     54,                0.00864,                    0.9,                      1,                0.98338,             0.00062211,             0.00062211,             0.00062211
                     55,                0.02118,                  0.875,                      1,                 1.0398,             0.00062034,             0.00062034,             0.00062034
                     56,                0.02302,                    0.9,                      1,                0.97895,             0.00061857,             0.00061857,             0.00061857
                     57,                0.01367,                  0.925,                      1,                0.97556,             0.00061681,             0.00061681,             0.00061681
                     58,                0.01409,                  0.925,                      1,                0.96848,             0.00061504,             0.00061504,             0.00061504
                     59,                0.02627,                  0.925,                      1,                0.96387,             0.00061327,             0.00061327,             0.00061327
                     60,                0.01754,                      1,                      1,                0.95788,             0.00061151,             0.00061151,             0.00061151
                     61,                0.00686,                  0.975,                      1,                0.94697,             0.00060974,             0.00060974,             0.00060974
                     62,                0.01701,                  0.975,                      1,                0.92512,             0.00060797,             0.00060797,             0.00060797
                     63,                0.01439,                   0.95,                      1,                0.97576,              0.0006062,              0.0006062,              0.0006062
                     64,                0.00614,                  0.975,                      1,                0.94405,             0.00060444,             0.00060444,             0.00060444
                     65,                   0.01,                  0.975,                      1,                0.97196,             0.00060267,             0.00060267,             0.00060267
                     66,                0.01148,                  0.975,                      1,                0.95965,              0.0006009,              0.0006009,              0.0006009
                     67,                 0.0152,                  0.975,                      1,                0.95834,             0.00059914,             0.00059914,             0.00059914
                     68,                0.01566,                  0.925,                      1,                 1.0567,             0.00059737,             0.00059737,             0.00059737
                     69,                0.00788,                    0.9,                      1,                 1.0049,              0.0005956,              0.0005956,              0.0005956
                     70,                0.02053,                  0.875,                      1,                 1.0405,             0.00059383,             0.00059383,             0.00059383
                     71,                0.02722,                  0.925,                      1,                 1.0701,             0.00059207,             0.00059207,             0.00059207
                     72,                0.00682,                  0.925,                      1,                 1.0183,              0.0005903,              0.0005903,              0.0005903
                     73,                0.00538,                   0.95,                      1,                0.97659,             0.00058853,             0.00058853,             0.00058853
                     74,                0.01159,                  0.875,                      1,                 1.0095,             0.00058677,             0.00058677,             0.00058677
                     75,                0.00695,                    0.9,                      1,                 1.0156,               0.000585,               0.000585,               0.000585
                     76,                0.01097,                  0.875,                      1,                 1.0541,             0.00058323,             0.00058323,             0.00058323
                     77,                0.00276,                  0.925,                      1,                 1.0367,             0.00058146,             0.00058146,             0.00058146
                     78,                0.01138,                  0.925,                      1,                 1.0579,              0.0005797,              0.0005797,              0.0005797
                     79,                0.00212,                    0.9,                      1,                 1.0529,             0.00057793,             0.00057793,             0.00057793
                     80,                0.00384,                    0.9,                      1,                 1.0333,             0.00057616,             0.00057616,             0.00057616
                     81,                0.01027,                    0.9,                      1,                 1.0276,              0.0005744,              0.0005744,              0.0005744
                     82,                0.00813,                  0.875,                      1,                 1.0801,             0.00057263,             0.00057263,             0.00057263
                     83,                0.00186,                  0.825,                      1,                 1.0731,             0.00057086,             0.00057086,             0.00057086
                     84,                0.00724,                   0.85,                      1,                  1.072,             0.00056909,             0.00056909,             0.00056909
                     85,                0.00634,                    0.9,                      1,                0.98369,             0.00056733,             0.00056733,             0.00056733
                     86,                0.01546,                  0.925,                      1,                0.99103,             0.00056556,             0.00056556,             0.00056556
                     87,                0.02058,                    0.9,                      1,                 1.0184,             0.00056379,             0.00056379,             0.00056379
                     88,                0.00222,                  0.925,                      1,                0.95877,             0.00056203,             0.00056203,             0.00056203
                     89,                0.00851,                  0.925,                      1,                0.96335,             0.00056026,             0.00056026,             0.00056026
                     90,                0.00677,                    0.9,                      1,                 1.0457,             0.00055849,             0.00055849,             0.00055849
                     91,                0.00492,                   0.95,                      1,                 0.9833,             0.00055672,             0.00055672,             0.00055672
                     92,                0.00239,                   0.95,                      1,                0.98578,             0.00055496,             0.00055496,             0.00055496
                     93,                0.00387,                   0.95,                      1,                0.96592,             0.00055319,             0.00055319,             0.00055319
                     94,                0.00101,                   0.95,                      1,                0.95858,             0.00055142,             0.00055142,             0.00055142
                     95,                0.00505,                   0.95,                      1,                0.97789,             0.00054966,             0.00054966,             0.00054966
                     96,                 0.0037,                   0.95,                      1,                 1.0025,             0.00054789,             0.00054789,             0.00054789
                     97,                0.00287,                   0.95,                      1,                0.95297,             0.00054612,             0.00054612,             0.00054612
                     98,                0.00481,                    0.9,                      1,                0.97353,             0.00054435,             0.00054435,             0.00054435
                     99,                0.00114,                    0.9,                      1,                0.99759,             0.00054259,             0.00054259,             0.00054259
                    100,                0.00126,                    0.9,                      1,                 1.0341,             0.00054082,             0.00054082,             0.00054082
                    101,                0.00053,                    0.9,                      1,                0.98867,             0.00053905,             0.00053905,             0.00053905
                    102,                0.00128,                    0.9,                      1,                0.99667,             0.00053728,             0.00053728,             0.00053728
                    103,                0.00025,                    0.9,                      1,                 1.0311,             0.00053552,             0.00053552,             0.00053552
                    104,                0.00307,                    0.9,                      1,                0.99826,             0.00053375,             0.00053375,             0.00053375
                    105,                0.00311,                    0.9,                      1,                 1.0262,             0.00053198,             0.00053198,             0.00053198
                    106,                0.00376,                    0.9,                      1,                0.99448,             0.00053022,             0.00053022,             0.00053022
                    107,                0.00056,                  0.875,                      1,                 0.9813,             0.00052845,             0.00052845,             0.00052845
                    108,                0.00434,                  0.925,                      1,                 1.0066,             0.00052668,             0.00052668,             0.00052668
                    109,                0.01432,                   0.85,                      1,                 1.0529,             0.00052491,             0.00052491,             0.00052491
                    110,                0.00143,                  0.875,                      1,                 1.0841,             0.00052315,             0.00052315,             0.00052315
