                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.00367,                    0.6,                      1,                 1.3752,             0.00030954,             0.00030954,             0.00030954
                     65,                0.00367,                    0.6,                      1,                 1.3752,              0.0003122,              0.0003122,              0.0003122
                     66,                0.00367,                    0.6,                      1,                  1.371,             0.00031478,             0.00031478,             0.00031478
                     67,                0.00328,                    0.6,                      1,                  1.371,             0.00031729,             0.00031729,             0.00031729
                     68,                0.00328,                    0.6,                      1,                  1.371,             0.00031973,             0.00031973,             0.00031973
                     69,                0.00328,                    0.6,                      1,                 1.3671,             0.00032209,             0.00032209,             0.00032209
                     70,                0.00294,                    0.6,                      1,                 1.3671,             0.00032439,             0.00032439,             0.00032439
                     71,                0.00294,                    0.6,                      1,                 1.3671,             0.00032662,             0.00032662,             0.00032662
                     72,                0.00294,                    0.6,                      1,                 1.3635,             0.00032878,             0.00032878,             0.00032878
                     73,                0.00266,                    0.6,                      1,                 1.3635,             0.00033086,             0.00033086,             0.00033086
                     74,                0.00266,                    0.6,                      1,                 1.3635,             0.00033288,             0.00033288,             0.00033288
                     75,                0.00266,                    0.6,                      1,                 1.3601,             0.00033482,             0.00033482,             0.00033482
                     76,                0.00241,                    0.6,                      1,                 1.3601,              0.0003367,              0.0003367,              0.0003367
                     77,                0.00241,                    0.6,                      1,                 1.3601,              0.0003385,              0.0003385,              0.0003385
                     78,                0.00241,                    0.6,                      1,                 1.3571,             0.00034023,             0.00034023,             0.00034023
                     79,                0.00221,                    0.6,                      1,                 1.3571,             0.00034189,             0.00034189,             0.00034189
                     80,                0.00221,                    0.6,                      1,                 1.3571,             0.00034348,             0.00034348,             0.00034348
                     81,                0.00221,                    0.6,                      1,                 1.3543,               0.000345,               0.000345,               0.000345
                     82,                0.00203,                    0.6,                      1,                 1.3543,             0.00034645,             0.00034645,             0.00034645
                     83,                0.00203,                    0.6,                      1,                 1.3543,             0.00034783,             0.00034783,             0.00034783
                     84,                0.00203,                    0.6,                      1,                 1.3518,             0.00034914,             0.00034914,             0.00034914
                     85,                0.00187,                    0.6,                      1,                 1.3518,             0.00035038,             0.00035038,             0.00035038
                     86,                0.00187,                    0.6,                      1,                 1.3518,             0.00035155,             0.00035155,             0.00035155
                     87,                0.00187,                    0.6,                      1,                 1.3518,             0.00035264,             0.00035264,             0.00035264
                     88,                0.00187,                    0.6,                      1,                 1.3498,             0.00035367,             0.00035367,             0.00035367
                     89,                0.00174,                    0.6,                      1,                 1.3498,             0.00035462,             0.00035462,             0.00035462
                     90,                0.00174,                    0.6,                      1,                 1.3498,             0.00035551,             0.00035551,             0.00035551
                     91,                0.00174,                    0.6,                      1,                 1.3498,             0.00035632,             0.00035632,             0.00035632
                     92,                0.00174,                    0.6,                      1,                 1.3478,             0.00035706,             0.00035706,             0.00035706
                     93,                0.00162,                    0.6,                      1,                 1.3478,             0.00035774,             0.00035774,             0.00035774
                     94,                0.00162,                    0.6,                      1,                 1.3478,             0.00035834,             0.00035834,             0.00035834
                     95,                0.00162,                    0.6,                      1,                 1.3478,             0.00035887,             0.00035887,             0.00035887
