                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6942,                    0.3,                      1,                 1.5941,              2.856e-05,              2.856e-05,              2.856e-05
                      2,                 1.5659,                    0.4,                      1,                 1.5809,               6.32e-05,               6.32e-05,               6.32e-05
                      3,                 1.3947,                    0.4,                      1,                 1.5536,             9.6661e-05,             9.6661e-05,             9.6661e-05
                      4,                 1.1579,                    0.5,                      1,                 1.5288,             0.00012894,             0.00012894,             0.00012894
                      5,                 1.0096,                    0.5,                      1,                 1.4885,             0.00016005,             0.00016005,             0.00016005
                      6,                0.84045,                    0.6,                      1,                 1.4504,             0.00018998,             0.00018998,             0.00018998
                      7,                 0.6388,                    0.7,                      1,                 1.3912,             0.00021873,             0.00021873,             0.00021873
                      8,                0.52662,                    0.9,                      1,                 1.3429,              0.0002463,              0.0002463,              0.0002463
                      9,                0.35321,                    0.9,                      1,                 1.2682,             0.00027269,             0.00027269,             0.00027269
                     10,                0.24961,                      1,                      1,                 1.2191,             0.00029791,             0.00029791,             0.00029791
                     11,                0.16237,                      1,                      1,                 1.1791,             0.00032194,             0.00032194,             0.00032194
                     12,                0.15878,                      1,                      1,                 1.1446,              0.0003448,              0.0003448,              0.0003448
                     13,                0.13315,                      1,                      1,                 1.1295,             0.00036648,             0.00036648,             0.00036648
                     14,                0.07199,                      1,                      1,                 1.0951,             0.00038698,             0.00038698,             0.00038698
                     15,                0.05184,                      1,                      1,                 1.0697,             0.00040631,             0.00040631,             0.00040631
                     16,                0.06063,                      1,                      1,                 1.0548,             0.00042446,             0.00042446,             0.00042446
                     17,                0.02578,                      1,                      1,                 1.0348,             0.00044142,             0.00044142,             0.00044142
                     18,                0.02314,                      1,                      1,                 1.0386,             0.00045721,             0.00045721,             0.00045721
                     19,                0.02382,                      1,                      1,                 1.0359,             0.00047183,             0.00047183,             0.00047183
                     20,                0.02184,                      1,                      1,                 1.0212,             0.00048526,             0.00048526,             0.00048526
                     21,                0.01714,                      1,                      1,                 1.0158,             0.00047838,             0.00047838,             0.00047838
                     22,                0.01382,                      1,                      1,                 1.0123,             0.00047838,             0.00047838,             0.00047838
                     23,                0.00904,                      1,                      1,                 1.0076,              0.0004666,              0.0004666,              0.0004666
                     24,                0.01316,                      1,                      1,                 1.0022,             0.00045482,             0.00045482,             0.00045482
                     25,                0.01156,                      1,                      1,                 1.0013,             0.00044304,             0.00044304,             0.00044304
                     26,                0.00544,                      1,                      1,                 1.0021,             0.00043126,             0.00043126,             0.00043126
                     27,                 0.0115,                      1,                      1,                 1.0036,             0.00041947,             0.00041947,             0.00041947
                     28,                0.00747,                      1,                      1,                0.99206,             0.00040769,             0.00040769,             0.00040769
                     29,                0.00847,                      1,                      1,                0.98544,             0.00039591,             0.00039591,             0.00039591
                     30,                0.00497,                      1,                      1,                0.98804,             0.00038413,             0.00038413,             0.00038413
                     31,                 0.0104,                      1,                      1,                0.98437,             0.00037235,             0.00037235,             0.00037235
                     32,                0.00514,                      1,                      1,                0.98993,             0.00036057,             0.00036057,             0.00036057
                     33,                0.00314,                      1,                      1,                0.99264,             0.00034879,             0.00034879,             0.00034879
                     34,                0.00409,                      1,                      1,                0.98514,             0.00033701,             0.00033701,             0.00033701
                     35,                0.00277,                      1,                      1,                0.99471,             0.00032523,             0.00032523,             0.00032523
                     36,                0.00635,                      1,                      1,                0.99125,             0.00031345,             0.00031345,             0.00031345
                     37,                0.00635,                      1,                      1,                0.98596,             0.00030167,             0.00030167,             0.00030167
                     38,                0.00124,                      1,                      1,                0.98916,             0.00028988,             0.00028988,             0.00028988
                     39,                0.00255,                      1,                      1,                0.99198,              0.0002781,              0.0002781,              0.0002781
                     40,                0.00204,                      1,                      1,                0.99079,             0.00026632,             0.00026632,             0.00026632
                     41,                0.00549,                      1,                      1,                0.98675,             0.00025454,             0.00025454,             0.00025454
                     42,                0.00197,                      1,                      1,                0.99388,             0.00024276,             0.00024276,             0.00024276
                     43,                0.00237,                      1,                      1,                0.98808,             0.00023098,             0.00023098,             0.00023098
                     44,                0.00724,                      1,                      1,                 0.9903,              0.0002192,              0.0002192,              0.0002192
                     45,                0.00262,                      1,                      1,                0.98947,             0.00020742,             0.00020742,             0.00020742
                     46,                0.00231,                      1,                      1,                0.99622,             0.00019564,             0.00019564,             0.00019564
                     47,                0.00158,                      1,                      1,                0.98628,             0.00018385,             0.00018385,             0.00018385
                     48,                0.00122,                      1,                      1,                0.98783,             0.00017207,             0.00017207,             0.00017207
                     49,                0.01004,                      1,                      1,                0.98884,             0.00016029,             0.00016029,             0.00016029
                     50,                0.00266,                      1,                      1,                0.98752,             0.00014851,             0.00014851,             0.00014851
                     51,                0.00265,                      1,                      1,                 0.9865,             0.00013673,             0.00013673,             0.00013673
                     52,                0.00158,                      1,                      1,                0.98652,             0.00012495,             0.00012495,             0.00012495
                     53,                0.00184,                      1,                      1,                0.98614,             0.00011317,             0.00011317,             0.00011317
                     54,                 0.0029,                      1,                      1,                0.98714,             0.00010139,             0.00010139,             0.00010139
                     55,                0.00843,                      1,                      1,                 1.0012,             8.9607e-05,             8.9607e-05,             8.9607e-05
                     56,                0.00297,                      1,                      1,                0.98576,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     57,                0.00391,                      1,                      1,                0.97819,             6.6045e-05,             6.6045e-05,             6.6045e-05
                     58,                0.00174,                      1,                      1,                0.98927,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     59,                0.00409,                      1,                      1,                0.99131,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     60,                0.00186,                      1,                      1,                 0.9851,             3.0702e-05,             3.0702e-05,             3.0702e-05
