                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6596,                   0.25,                      1,                 1.6097,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 1.4713,                   0.25,                      1,                 1.5626,             0.00013499,             0.00013499,             0.00013499
                      3,                 1.2418,                   0.55,                      1,                 1.4912,             0.00020501,             0.00020501,             0.00020501
                      4,                0.96529,                    0.8,                      1,                 1.3826,             0.00027432,             0.00027432,             0.00027432
                      5,                0.67244,                    0.9,                      1,                 1.2517,             0.00034293,             0.00034293,             0.00034293
                      6,                0.48066,                   0.95,                      1,                 1.1496,             0.00041083,             0.00041083,             0.00041083
                      7,                0.33889,                      1,                      1,                 1.0811,             0.00047803,             0.00047803,             0.00047803
                      8,                0.17516,                      1,                      1,                 1.0293,             0.00054452,             0.00054452,             0.00054452
                      9,                  0.126,                   0.95,                      1,                 1.0047,              0.0006103,              0.0006103,              0.0006103
                     10,                0.08671,                   0.95,                      1,                0.99658,             0.00067537,             0.00067537,             0.00067537
                     11,                0.05598,                   0.95,                      1,                0.98385,             0.00067866,             0.00067866,             0.00067866
                     12,                0.06051,                   0.95,                      1,                0.98979,             0.00067866,             0.00067866,             0.00067866
                     13,                0.04562,                    0.9,                      1,                 1.0105,             0.00067512,             0.00067512,             0.00067512
                     14,                0.02135,                   0.95,                      1,                0.97799,             0.00067159,             0.00067159,             0.00067159
                     15,                0.06649,                   0.95,                      1,                0.96739,             0.00066805,             0.00066805,             0.00066805
                     16,                0.04418,                      1,                      1,                0.96669,             0.00066452,             0.00066452,             0.00066452
                     17,                0.02182,                      1,                      1,                0.94939,             0.00066099,             0.00066099,             0.00066099
                     18,                0.03004,                      1,                      1,                0.96336,             0.00065745,             0.00065745,             0.00065745
                     19,                0.01324,                    0.9,                      1,                  1.005,             0.00065392,             0.00065392,             0.00065392
                     20,                0.01806,                   0.95,                      1,                 1.0117,             0.00065038,             0.00065038,             0.00065038
                     21,                0.02908,                   0.95,                      1,                 1.0018,             0.00064685,             0.00064685,             0.00064685
                     22,                0.00915,                   0.95,                      1,                 1.0027,             0.00064331,             0.00064331,             0.00064331
                     23,                0.01301,                    0.9,                      1,                0.99574,             0.00063978,             0.00063978,             0.00063978
                     24,                 0.0198,                   0.95,                      1,                0.98155,             0.00063625,             0.00063625,             0.00063625
                     25,                0.04315,                      1,                      1,                0.95433,             0.00063271,             0.00063271,             0.00063271
                     26,                0.00945,                   0.95,                      1,                0.95501,             0.00062918,             0.00062918,             0.00062918
                     27,                0.03816,                   0.95,                      1,                0.94949,             0.00062564,             0.00062564,             0.00062564
                     28,                 0.0178,                   0.95,                      1,                0.95107,             0.00062211,             0.00062211,             0.00062211
                     29,                0.01065,                   0.95,                      1,                0.95729,             0.00061857,             0.00061857,             0.00061857
                     30,                0.03115,                   0.95,                      1,                0.95708,             0.00061504,             0.00061504,             0.00061504
                     31,                0.03091,                   0.95,                      1,                0.96374,             0.00061151,             0.00061151,             0.00061151
                     32,                0.02275,                   0.95,                      1,                0.96093,             0.00060797,             0.00060797,             0.00060797
                     33,                0.01095,                   0.95,                      1,                 0.9646,             0.00060444,             0.00060444,             0.00060444
                     34,                0.01413,                   0.95,                      1,                0.95982,              0.0006009,              0.0006009,              0.0006009
                     35,                0.04894,                   0.95,                      1,                0.97166,             0.00059737,             0.00059737,             0.00059737
                     36,                0.03965,                   0.95,                      1,                0.96477,             0.00059383,             0.00059383,             0.00059383
                     37,                0.01325,                   0.95,                      1,                0.97133,              0.0005903,              0.0005903,              0.0005903
                     38,                0.04663,                      1,                      1,                 0.9658,             0.00058677,             0.00058677,             0.00058677
                     39,                0.03897,                   0.95,                      1,                0.99061,             0.00058323,             0.00058323,             0.00058323
                     40,                0.01227,                      1,                      1,                0.97819,              0.0005797,              0.0005797,              0.0005797
                     41,                0.01558,                      1,                      1,                0.97171,             0.00057616,             0.00057616,             0.00057616
                     42,                0.01228,                      1,                      1,                0.96555,             0.00057263,             0.00057263,             0.00057263
                     43,                0.01625,                      1,                      1,                0.95331,             0.00056909,             0.00056909,             0.00056909
                     44,                0.02866,                   0.95,                      1,                0.94791,             0.00056556,             0.00056556,             0.00056556
                     45,                 0.0299,                   0.95,                      1,                0.94713,             0.00056203,             0.00056203,             0.00056203
                     46,                0.01504,                      1,                      1,                0.94505,             0.00055849,             0.00055849,             0.00055849
                     47,                0.04578,                      1,                      1,                0.94209,             0.00055496,             0.00055496,             0.00055496
                     48,                0.00418,                      1,                      1,                0.91809,             0.00055142,             0.00055142,             0.00055142
                     49,                0.01112,                      1,                      1,                0.91723,             0.00054789,             0.00054789,             0.00054789
                     50,                0.00989,                      1,                      1,                0.91585,             0.00054435,             0.00054435,             0.00054435
                     51,                0.01255,                      1,                      1,                0.91473,             0.00054082,             0.00054082,             0.00054082
                     52,                0.01059,                      1,                      1,                0.91891,             0.00053728,             0.00053728,             0.00053728
                     53,                0.01287,                      1,                      1,                0.91556,             0.00053375,             0.00053375,             0.00053375
                     54,                0.00262,                      1,                      1,                0.92813,             0.00053022,             0.00053022,             0.00053022
                     55,                0.03653,                      1,                      1,                0.93628,             0.00052668,             0.00052668,             0.00052668
                     56,                0.01273,                      1,                      1,                0.93784,             0.00052315,             0.00052315,             0.00052315
                     57,                0.01792,                      1,                      1,                0.92797,             0.00051961,             0.00051961,             0.00051961
                     58,                0.00323,                      1,                      1,                  0.919,             0.00051608,             0.00051608,             0.00051608
                     59,                0.01235,                      1,                      1,                 0.9215,             0.00051254,             0.00051254,             0.00051254
                     60,                0.02483,                      1,                      1,                0.92263,             0.00050901,             0.00050901,             0.00050901
                     61,                0.01511,                      1,                      1,                0.91983,             0.00050548,             0.00050548,             0.00050548
                     62,                0.01224,                      1,                      1,                0.91818,             0.00050194,             0.00050194,             0.00050194
                     63,                0.01536,                      1,                      1,                0.91892,             0.00049841,             0.00049841,             0.00049841
                     64,                0.00331,                      1,                      1,                 0.9176,             0.00049487,             0.00049487,             0.00049487
                     65,                0.01632,                      1,                      1,                0.91875,             0.00049134,             0.00049134,             0.00049134
                     66,                0.05069,                      1,                      1,                0.92467,              0.0004878,              0.0004878,              0.0004878
                     67,                0.01288,                      1,                      1,                0.92655,             0.00048427,             0.00048427,             0.00048427
                     68,                 0.0056,                      1,                      1,                0.94053,             0.00048074,             0.00048074,             0.00048074
                     69,                0.03172,                   0.95,                      1,                0.95838,              0.0004772,              0.0004772,              0.0004772
                     70,                 0.0115,                   0.95,                      1,                0.95948,             0.00047367,             0.00047367,             0.00047367
                     71,                0.02516,                   0.95,                      1,                0.95745,             0.00047013,             0.00047013,             0.00047013
                     72,                0.03472,                   0.95,                      1,                0.94798,              0.0004666,              0.0004666,              0.0004666
                     73,                0.00372,                      1,                      1,                0.94189,             0.00046306,             0.00046306,             0.00046306
                     74,                 0.0223,                      1,                      1,                0.93561,             0.00045953,             0.00045953,             0.00045953
                     75,                0.03223,                      1,                      1,                0.92801,               0.000456,               0.000456,               0.000456
                     76,                 0.0054,                      1,                      1,                0.94236,             0.00045246,             0.00045246,             0.00045246
                     77,                0.00512,                      1,                      1,                 0.9576,             0.00044893,             0.00044893,             0.00044893
                     78,                0.01346,                   0.95,                      1,                0.98576,             0.00044539,             0.00044539,             0.00044539
                     79,                0.02601,                   0.95,                      1,                0.99091,             0.00044186,             0.00044186,             0.00044186
                     80,                0.02366,                   0.95,                      1,                0.99505,             0.00043832,             0.00043832,             0.00043832
                     81,                0.04237,                   0.95,                      1,                0.99763,             0.00043479,             0.00043479,             0.00043479
                     82,                0.03245,                   0.85,                      1,                 1.0458,             0.00043126,             0.00043126,             0.00043126
                     83,                0.00666,                   0.85,                      1,                  1.038,             0.00042772,             0.00042772,             0.00042772
                     84,                0.01517,                    0.9,                      1,                  1.027,             0.00042419,             0.00042419,             0.00042419
                     85,                0.01832,                   0.95,                      1,                  1.017,             0.00042065,             0.00042065,             0.00042065
                     86,                0.00732,                    0.9,                      1,                 1.0289,             0.00041712,             0.00041712,             0.00041712
                     87,                0.00906,                    0.9,                      1,                 1.0134,             0.00041358,             0.00041358,             0.00041358
                     88,                0.01647,                   0.95,                      1,                0.98625,             0.00041005,             0.00041005,             0.00041005
                     89,                0.00416,                   0.95,                      1,                0.99024,             0.00040652,             0.00040652,             0.00040652
                     90,                 0.0017,                    0.9,                      1,                0.98539,             0.00040298,             0.00040298,             0.00040298
                     91,                0.01115,                   0.95,                      1,                0.96803,             0.00039945,             0.00039945,             0.00039945
                     92,                0.00466,                      1,                      1,                0.93633,             0.00039591,             0.00039591,             0.00039591
                     93,                0.01595,                      1,                      1,                0.92372,             0.00039238,             0.00039238,             0.00039238
                     94,                0.03092,                      1,                      1,                0.92398,             0.00038884,             0.00038884,             0.00038884
                     95,                0.00798,                      1,                      1,                0.92982,             0.00038531,             0.00038531,             0.00038531
                     96,                0.00955,                      1,                      1,                0.92407,             0.00038178,             0.00038178,             0.00038178
                     97,                0.00568,                      1,                      1,                0.92436,             0.00037824,             0.00037824,             0.00037824
                     98,                0.00215,                      1,                      1,                0.92506,             0.00037471,             0.00037471,             0.00037471
                     99,                 0.0026,                      1,                      1,                0.92967,             0.00037117,             0.00037117,             0.00037117
                    100,                0.00215,                      1,                      1,                0.92777,             0.00036764,             0.00036764,             0.00036764
                    101,                0.00159,                      1,                      1,                0.92881,              0.0003641,              0.0003641,              0.0003641
                    102,                0.00502,                      1,                      1,                0.92645,             0.00036057,             0.00036057,             0.00036057
                    103,                0.01567,                      1,                      1,                0.93248,             0.00035704,             0.00035704,             0.00035704
                    104,                0.00247,                      1,                      1,                0.93629,              0.0003535,              0.0003535,              0.0003535
                    105,                0.00275,                      1,                      1,                 0.9351,             0.00034997,             0.00034997,             0.00034997
                    106,                0.00149,                      1,                      1,                0.93521,             0.00034643,             0.00034643,             0.00034643
                    107,                0.00391,                      1,                      1,                0.93706,              0.0003429,              0.0003429,              0.0003429
                    108,                 0.0035,                      1,                      1,                0.93406,             0.00033936,             0.00033936,             0.00033936
                    109,                 0.0014,                      1,                      1,                0.93669,             0.00033583,             0.00033583,             0.00033583
                    110,                 0.0085,                      1,                      1,                0.93806,              0.0003323,              0.0003323,              0.0003323
                    111,                0.00446,                      1,                      1,                0.93145,             0.00032876,             0.00032876,             0.00032876
                    112,                0.00931,                      1,                      1,                0.93106,             0.00032523,             0.00032523,             0.00032523
                    113,                0.00457,                      1,                      1,                0.93062,             0.00032169,             0.00032169,             0.00032169
                    114,                0.00441,                      1,                      1,                0.92595,             0.00031816,             0.00031816,             0.00031816
                    115,                0.00113,                      1,                      1,                0.92278,             0.00031462,             0.00031462,             0.00031462
                    116,                0.00249,                      1,                      1,                0.92074,             0.00031109,             0.00031109,             0.00031109
                    117,                0.05211,                      1,                      1,                0.91629,             0.00030756,             0.00030756,             0.00030756
                    118,                0.00815,                      1,                      1,                0.92135,             0.00030402,             0.00030402,             0.00030402
                    119,                0.00482,                      1,                      1,                0.92107,             0.00030049,             0.00030049,             0.00030049
                    120,                0.00138,                      1,                      1,                0.91918,             0.00029695,             0.00029695,             0.00029695
                    121,                0.00168,                      1,                      1,                0.92062,             0.00029342,             0.00029342,             0.00029342
                    122,                0.00192,                      1,                      1,                0.91964,             0.00028988,             0.00028988,             0.00028988
                    123,                0.00183,                      1,                      1,                0.92379,             0.00028635,             0.00028635,             0.00028635
                    124,                0.00131,                      1,                      1,                0.92185,             0.00028282,             0.00028282,             0.00028282
                    125,                0.00124,                      1,                      1,                0.92117,             0.00027928,             0.00027928,             0.00027928
                    126,                0.00224,                      1,                      1,                0.92338,             0.00027575,             0.00027575,             0.00027575
                    127,                0.00117,                      1,                      1,                 0.9201,             0.00027221,             0.00027221,             0.00027221
                    128,                0.00167,                      1,                      1,                0.92113,             0.00026868,             0.00026868,             0.00026868
