                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7235,                      0,                      1,                 1.5983,                      0,                      0,                      0
                      2,                 1.7235,                    0.1,                      1,                 1.5978,             7.1047e-06,             7.1047e-06,             7.1047e-06
                      3,                 1.6985,                    0.2,                      1,                 1.5944,             1.4139e-05,             1.4139e-05,             1.4139e-05
                      4,                 1.6491,                    0.3,                      1,                 1.5896,             2.1102e-05,             2.1102e-05,             2.1102e-05
                      5,                 1.5767,                    0.3,                      1,                 1.5849,             2.7995e-05,             2.7995e-05,             2.7995e-05
                      6,                 1.4833,                    0.4,                      1,                 1.5803,             3.4816e-05,             3.4816e-05,             3.4816e-05
                      7,                 1.3723,                    0.4,                      1,                 1.5756,             4.1568e-05,             4.1568e-05,             4.1568e-05
                      8,                 1.2479,                    0.4,                      1,                 1.5707,             4.8248e-05,             4.8248e-05,             4.8248e-05
                      9,                 1.1151,                    0.4,                      1,                 1.5653,             5.4858e-05,             5.4858e-05,             5.4858e-05
                     10,                0.97915,                    0.4,                      1,                 1.5596,             6.1397e-05,             6.1397e-05,             6.1397e-05
                     11,                0.84556,                    0.4,                      1,                 1.5538,             6.7866e-05,             6.7866e-05,             6.7866e-05
                     12,                0.71905,                    0.4,                      1,                 1.5479,             7.4263e-05,             7.4263e-05,             7.4263e-05
                     13,                0.60277,                    0.4,                      1,                 1.5418,             8.0591e-05,             8.0591e-05,             8.0591e-05
                     14,                0.49888,                    0.4,                      1,                 1.5356,             8.6847e-05,             8.6847e-05,             8.6847e-05
                     15,                0.40831,                    0.4,                      1,                 1.5292,             9.3033e-05,             9.3033e-05,             9.3033e-05
                     16,                0.33111,                    0.4,                      1,                 1.5226,             9.9148e-05,             9.9148e-05,             9.9148e-05
                     17,                0.26666,                    0.4,                      1,                 1.5159,             0.00010519,             0.00010519,             0.00010519
                     18,                 0.2138,                    0.4,                      1,                 1.5159,             0.00011117,             0.00011117,             0.00011117
                     19,                 0.2138,                    0.4,                      1,                 1.5099,             0.00011707,             0.00011707,             0.00011707
                     20,                0.16905,                    0.4,                      1,                 1.5099,              0.0001229,              0.0001229,              0.0001229
                     21,                0.16905,                    0.4,                      1,                 1.5034,             0.00012866,             0.00012866,             0.00012866
                     22,                0.13243,                    0.4,                      1,                 1.5034,             0.00013435,             0.00013435,             0.00013435
                     23,                0.13243,                    0.4,                      1,                 1.4965,             0.00013997,             0.00013997,             0.00013997
                     24,                0.10327,                    0.4,                      1,                 1.4965,             0.00014552,             0.00014552,             0.00014552
                     25,                0.10327,                    0.4,                      1,                 1.4893,               0.000151,               0.000151,               0.000151
                     26,                0.08049,                    0.4,                      1,                 1.4893,             0.00015641,             0.00015641,             0.00015641
                     27,                0.08049,                    0.4,                      1,                 1.4817,             0.00016175,             0.00016175,             0.00016175
                     28,                0.06287,                    0.4,                      1,                 1.4817,             0.00016701,             0.00016701,             0.00016701
                     29,                0.06287,                    0.4,                      1,                 1.4741,             0.00017221,             0.00017221,             0.00017221
                     30,                0.04934,                    0.4,                      1,                 1.4741,             0.00017734,             0.00017734,             0.00017734
                     31,                0.04934,                    0.4,                      1,                 1.4664,             0.00018239,             0.00018239,             0.00018239
                     32,                0.03896,                    0.4,                      1,                 1.4664,             0.00018738,             0.00018738,             0.00018738
                     33,                0.03896,                    0.4,                      1,                 1.4587,             0.00019229,             0.00019229,             0.00019229
                     34,                0.03101,                    0.4,                      1,                 1.4587,             0.00019713,             0.00019713,             0.00019713
                     35,                0.03101,                    0.4,                      1,                 1.4511,              0.0002019,              0.0002019,              0.0002019
                     36,                 0.0249,                    0.4,                      1,                 1.4511,              0.0002066,              0.0002066,              0.0002066
                     37,                 0.0249,                    0.5,                      1,                 1.4436,             0.00021124,             0.00021124,             0.00021124
                     38,                0.02018,                    0.5,                      1,                 1.4436,              0.0002158,              0.0002158,              0.0002158
                     39,                0.02018,                    0.6,                      1,                 1.4363,             0.00022028,             0.00022028,             0.00022028
                     40,                0.01651,                    0.6,                      1,                 1.4363,              0.0002247,              0.0002247,              0.0002247
                     41,                0.01651,                    0.6,                      1,                 1.4293,             0.00022905,             0.00022905,             0.00022905
                     42,                0.01364,                    0.6,                      1,                 1.4293,             0.00023333,             0.00023333,             0.00023333
                     43,                0.01364,                    0.6,                      1,                 1.4224,             0.00023753,             0.00023753,             0.00023753
                     44,                0.01138,                    0.6,                      1,                 1.4224,             0.00024167,             0.00024167,             0.00024167
                     45,                0.01138,                    0.6,                      1,                 1.4159,             0.00024574,             0.00024574,             0.00024574
                     46,                0.00958,                    0.6,                      1,                 1.4159,             0.00024973,             0.00024973,             0.00024973
                     47,                0.00958,                    0.6,                      1,                 1.4096,             0.00025365,             0.00025365,             0.00025365
                     48,                0.00814,                    0.6,                      1,                 1.4096,             0.00025751,             0.00025751,             0.00025751
                     49,                0.00814,                    0.6,                      1,                 1.4036,             0.00026129,             0.00026129,             0.00026129
                     50,                0.00698,                    0.6,                      1,                 1.4036,               0.000265,               0.000265,               0.000265
                     51,                0.00698,                    0.6,                      1,                  1.398,             0.00026864,             0.00026864,             0.00026864
                     52,                0.00603,                    0.6,                      1,                  1.398,             0.00027221,             0.00027221,             0.00027221
                     53,                0.00603,                    0.6,                      1,                  1.398,             0.00027571,             0.00027571,             0.00027571
                     54,                0.00603,                    0.6,                      1,                 1.3931,             0.00027914,             0.00027914,             0.00027914
                     55,                0.00525,                    0.6,                      1,                 1.3931,              0.0002825,              0.0002825,              0.0002825
                     56,                0.00525,                    0.6,                      1,                 1.3931,             0.00028579,             0.00028579,             0.00028579
                     57,                0.00525,                    0.6,                      1,                 1.3883,               0.000289,               0.000289,               0.000289
                     58,                 0.0046,                    0.6,                      1,                 1.3883,             0.00029215,             0.00029215,             0.00029215
                     59,                 0.0046,                    0.6,                      1,                 1.3883,             0.00029523,             0.00029523,             0.00029523
                     60,                 0.0046,                    0.6,                      1,                 1.3837,             0.00029823,             0.00029823,             0.00029823
                     61,                0.00406,                    0.6,                      1,                 1.3837,             0.00030117,             0.00030117,             0.00030117
                     62,                0.00406,                    0.6,                      1,                 1.3837,             0.00030403,             0.00030403,             0.00030403
                     63,                0.00406,                    0.6,                      1,                 1.3794,             0.00030682,             0.00030682,             0.00030682
                     64,                 0.0036,                    0.6,                      1,                 1.3794,             0.00030954,             0.00030954,             0.00030954
                     65,                 0.0036,                    0.6,                      1,                 1.3794,              0.0003122,              0.0003122,              0.0003122
                     66,                 0.0036,                    0.6,                      1,                 1.3753,             0.00031478,             0.00031478,             0.00031478
                     67,                0.00322,                    0.6,                      1,                 1.3753,             0.00031729,             0.00031729,             0.00031729
                     68,                0.00322,                    0.6,                      1,                 1.3753,             0.00031973,             0.00031973,             0.00031973
                     69,                0.00322,                    0.6,                      1,                 1.3714,             0.00032209,             0.00032209,             0.00032209
                     70,                 0.0029,                    0.6,                      1,                 1.3714,             0.00032439,             0.00032439,             0.00032439
                     71,                 0.0029,                    0.6,                      1,                 1.3714,             0.00032662,             0.00032662,             0.00032662
                     72,                 0.0029,                    0.6,                      1,                 1.3678,             0.00032878,             0.00032878,             0.00032878
                     73,                0.00262,                    0.6,                      1,                 1.3678,             0.00033086,             0.00033086,             0.00033086
                     74,                0.00262,                    0.6,                      1,                 1.3678,             0.00033288,             0.00033288,             0.00033288
                     75,                0.00262,                    0.6,                      1,                 1.3645,             0.00033482,             0.00033482,             0.00033482
                     76,                0.00239,                    0.6,                      1,                 1.3645,              0.0003367,              0.0003367,              0.0003367
                     77,                0.00239,                    0.6,                      1,                 1.3645,              0.0003385,              0.0003385,              0.0003385
                     78,                0.00239,                    0.6,                      1,                 1.3615,             0.00034023,             0.00034023,             0.00034023
                     79,                0.00218,                    0.6,                      1,                 1.3615,             0.00034189,             0.00034189,             0.00034189
                     80,                0.00218,                    0.6,                      1,                 1.3615,             0.00034348,             0.00034348,             0.00034348
                     81,                0.00218,                    0.6,                      1,                 1.3587,               0.000345,               0.000345,               0.000345
                     82,                0.00201,                    0.6,                      1,                 1.3587,             0.00034645,             0.00034645,             0.00034645
                     83,                0.00201,                    0.6,                      1,                 1.3587,             0.00034783,             0.00034783,             0.00034783
                     84,                0.00201,                    0.6,                      1,                 1.3561,             0.00034914,             0.00034914,             0.00034914
                     85,                0.00186,                    0.6,                      1,                 1.3561,             0.00035038,             0.00035038,             0.00035038
                     86,                0.00186,                    0.6,                      1,                 1.3561,             0.00035155,             0.00035155,             0.00035155
                     87,                0.00186,                    0.6,                      1,                 1.3561,             0.00035264,             0.00035264,             0.00035264
                     88,                0.00186,                    0.6,                      1,                  1.354,             0.00035367,             0.00035367,             0.00035367
                     89,                0.00173,                    0.6,                      1,                  1.354,             0.00035462,             0.00035462,             0.00035462
                     90,                0.00173,                    0.6,                      1,                  1.354,             0.00035551,             0.00035551,             0.00035551
                     91,                0.00173,                    0.6,                      1,                  1.354,             0.00035632,             0.00035632,             0.00035632
                     92,                0.00173,                    0.6,                      1,                  1.352,             0.00035706,             0.00035706,             0.00035706
                     93,                0.00161,                    0.6,                      1,                  1.352,             0.00035774,             0.00035774,             0.00035774
                     94,                0.00161,                    0.6,                      1,                  1.352,             0.00035834,             0.00035834,             0.00035834
                     95,                0.00161,                    0.6,                      1,                  1.352,             0.00035887,             0.00035887,             0.00035887
                     96,                0.00161,                    0.6,                      1,                 1.3502,             0.00035933,             0.00035933,             0.00035933
                     97,                0.00151,                    0.6,                      1,                 1.3502,             0.00035972,             0.00035972,             0.00035972
                     98,                0.00151,                    0.6,                      1,                 1.3502,             0.00036004,             0.00036004,             0.00036004
                     99,                0.00151,                    0.6,                      1,                 1.3502,             0.00036029,             0.00036029,             0.00036029
                    100,                0.00151,                    0.6,                      1,                 1.3485,             0.00036046,             0.00036046,             0.00036046
                    101,                0.00142,                    0.6,                      1,                 1.3485,             0.00036057,             0.00036057,             0.00036057
                    102,                0.00142,                    0.6,                      1,                 1.3485,             0.00036057,             0.00036057,             0.00036057
                    103,                0.00142,                    0.6,                      1,                 1.3485,             0.00035704,             0.00035704,             0.00035704
                    104,                0.00142,                    0.6,                      1,                  1.347,              0.0003535,              0.0003535,              0.0003535
